Date,Horse,Jockey,Trainer,LBW
16/10/2022,ISLAND GOLDEN,S De Sousa,K L Man,-
16/10/2022,YOUNG SPARKLE,A Hamelin,A T Millard,3-1/4
16/10/2022,SUPERB MOVE,R Maia,C H Yip,4-3/4
16/10/2022,JOYFUL CHAMPION,Y L Chung,C W Chang,4-3/4
16/10/2022,LEAN HERO,A Badel,D A Hayes,4-3/4
16/10/2022,INSPIRING CITY,C Y Ho,D A Hayes,5
16/10/2022,NOBLE ACE,Z Purton,J Size,5-3/4
16/10/2022,REGENCY MASTER,M F Poon,C S Shum,-
16/10/2022,LOYAL AMBITION,C Y Ho,C Fownes,NOSE
16/10/2022,MURRAY'S PARTNERS,Z Purton,C H Yip,3/4
16/10/2022,SKY GEM,A Hamelin,C Fownes,3/4
16/10/2022,SUPERB DADDY,C L Chau,Y S Tsui,2
16/10/2022,STAR OF GLORY,Y L Chung,C W Chang,2-1/4
16/10/2022,BARON ZEE,A Badel,R Gibson,2-1/4
16/10/2022,FLASH FAMOUS,S De Sousa,C H Yip,2-1/2
16/10/2022,FORTUNE TRIPLE,L Hewitson,Y S Tsui,3-1/4
16/10/2022,FORTUNE PATROL,R Maia,A T Millard,4-1/4
16/10/2022,TURF BRILLIANT,M Chadwick,W Y So,6
16/10/2022,MISTER MONTE,H T Mo,C W Chang,8-3/4
16/10/2022,YEE CHEONG BRAVE,K C Leung,A T Millard,11-1/4
16/10/2022,FANTASTIC WAY,A Badel,J Size,-
16/10/2022,IMA SINGLE MAN,Y L Chung,A S Cruz,SH
16/10/2022,LUCKY WITH YOU,Z Purton,D A Hayes,1-1/2
16/10/2022,FAMILY FOLKS,A Hamelin,C W Chang,2
16/10/2022,ROCK YA HEART,R Maia,K W Lui,2-3/4
16/10/2022,TORONADO PHANTOM,V Borges,J Size,4
16/10/2022,CLASSIC UNICORN,C L Chau,W Y So,4-1/2
16/10/2022,RUN RUN COOL,M Chadwick,F C Lor,4-3/4
16/10/2022,PLEASANT ENDEAVOR,K C Leung,P F Yiu,-
16/10/2022,NOBLE ONE,C Y Ho,K W Lui,1/2
16/10/2022,BIG ME,K H Chan,C Fownes,1-1/4
16/10/2022,AMAZING ROCKY,Z Purton,T P Yung,1-1/2
16/10/2022,UNITED WE STAND,L Hewitson,P C Ng,1-3/4
16/10/2022,GLORY BO BO,C L Chau,C S Shum,2-1/2
16/10/2022,DIVINE ERA,M L Yeung,K H Ting,3-1/4
16/10/2022,FLYING HIGH,M Chadwick,W Y So,3-1/2
16/10/2022,CHEVAL VALIANT,Y L Chung,D J Whyte,3-3/4
16/10/2022,YOUNG HORIZON,L Currie,D A Hayes,4-3/4
16/10/2022,SAVVY CHIC,S De Sousa,F C Lor,5-1/4
16/10/2022,GENEROUS FRIEND,R Maia,C H Yip,6-1/2
16/10/2022,DASHING TRIUMPH,H T Mo,L Ho,7-1/2
16/10/2022,HEI WONGCHOY,V Borges,Y S Tsui,26-1/4
16/10/2022,WE ARE HERO,S De Sousa,K L Man,---
16/10/2022,STUNNING IMPACT,S De Sousa,P C Ng,-
16/10/2022,VOYAGE STAR,C L Chau,T P Yung,3
16/10/2022,BAEBAE TSOI,M F Poon,F C Lor,3-1/4
16/10/2022,SUNNY DELIGHT,A Badel,C S Shum,3-1/2
16/10/2022,FUNCTION PATCH,C Y Ho,K W Lui,3-3/4
16/10/2022,JIANGXI STAMINA,V Borges,W Y So,5-1/4
16/10/2022,CHARMING STEED,K H Chan,C Fownes,5-1/4
