Date,Horse,Jockey,Trainer,Track Condition,LBW
29/12/2023,GREEN LASER ,M L Yeung,W Y So,,-
29/12/2023,NICE BIRDIE ,C L Chau,C S Shum,,3/4
29/12/2023,BOOM ALLIANCE ,Z Purton,D J Whyte,,1
29/12/2023,GOLDEN FAIRY ,A Badel,W Y So,,1-1/4
29/12/2023,HAPPY HERO ,H Bowman,M Newnham,,2
29/12/2023,DIAMOND WINNER ,J McDonald,J Size,,2-1/4
29/12/2023,LOYAL AMBITION ,K De Melo,C Fownes,,2-3/4
29/12/2023,AI ONE ,B Avdulla,K H Ting,,4-1/2
29/12/2023,MIGHTY STAR ,A Atzeni,C W Chang,,5
29/12/2023,VALHALLA ,H Bowman,C Fownes,,-
29/12/2023,WIND SPEEDER ,M Chadwick,Y S Tsui,,1/2
29/12/2023,HERCULES ,A Badel,C H Yip,,3/4
29/12/2023,AUGUST MOON ,K C Leung,J Richards,,1-1/4
29/12/2023,VIVA A LA ,K De Melo,K L Man,,2-1/4
29/12/2023,GENERAL ACE ,L Hewitson,K W Lui,,2-3/4
29/12/2023,EASY TWO ,A Atzeni,K H Ting,,3-1/2
29/12/2023,DOUBLE SHOW ,J McDonald,D J Whyte,,4-1/4
29/12/2023,MILLENNIUM FALCON ,C L Chau,T P Yung,,4-1/2
29/12/2023,GET THE MONIES ,L Ferraris,M Newnham,,4-3/4
29/12/2023,HAPPILY FRIENDS ,Z Purton,W Y So,,7
29/12/2023,CRAIG'S MASTER ,M L Yeung,K H Ting,,17
29/12/2023,VALHALLA ,H Bowman,C Fownes,,-
29/12/2023,WIND SPEEDER ,M Chadwick,Y S Tsui,,1/2
29/12/2023,HERCULES ,A Badel,C H Yip,,3/4
29/12/2023,AUGUST MOON ,K C Leung,J Richards,,1-1/4
29/12/2023,VIVA A LA ,K De Melo,K L Man,,2-1/4
29/12/2023,GENERAL ACE ,L Hewitson,K W Lui,,2-3/4
29/12/2023,EASY TWO ,A Atzeni,K H Ting,,3-1/2
29/12/2023,DOUBLE SHOW ,J McDonald,D J Whyte,,4-1/4
29/12/2023,MILLENNIUM FALCON ,C L Chau,T P Yung,,4-1/2
29/12/2023,GET THE MONIES ,L Ferraris,M Newnham,,4-3/4
29/12/2023,HAPPILY FRIENDS ,Z Purton,W Y So,,7
29/12/2023,CRAIG'S MASTER ,M L Yeung,K H Ting,,17
29/12/2023,SUPER BABY ,L Ferraris,M Newnham,,-
29/12/2023,TURIN WARRIOR ,Z Purton,K L Man,,1-1/2
29/12/2023,AFFIRM ,M F Poon,P F Yiu,,2-3/4
29/12/2023,SNOWALOT ,J McDonald,D A Hayes,,2-3/4
29/12/2023,MR ALADDIN ,K De Melo,P C Ng,,3-1/4
29/12/2023,PALACE PAL ,A Badel,D J Hall,,4-1/4
29/12/2023,RELIABLE PROFIT ,B Avdulla,C S Shum,,4-1/2
29/12/2023,DIAMOND DIAMOND ,L Hewitson,T P Yung,,5-1/4
29/12/2023,BEAU GOSSE ,A Atzeni,D J Whyte,,5-3/4
29/12/2023,MERCHANT PRINCE ,M L Yeung,J Richards,,7-1/4
29/12/2023,YOUNG VICTORY ,C L Chau,W Y So,,7-1/2
29/12/2023,BEAUTY MISSION ,M Chadwick,F C Lor,,7-3/4
29/12/2023,LYRICAL MOTION ,A Badel,C Fownes,,-
29/12/2023,HAPPY TRIO ,L Ferraris,D J Whyte,,2
29/12/2023,HIGH RISE SOLDIER ,Z Purton,K W Lui,,3-1/4
29/12/2023,COLONEL ,M F Poon,P F Yiu,,3-1/4
29/12/2023,WOOD ON FIRE ,K C Leung,C W Chang,,3-1/2
29/12/2023,TATTENHAM ,K De Melo,P C Ng,,3-1/2
29/12/2023,KILINDINI ,J McDonald,W K Mo,,5
29/12/2023,WINNING HEART ,L Hewitson,A S Cruz,,5-3/4
29/12/2023,HERO STAR ,M Chadwick,K L Man,,6-1/4
29/12/2023,SEE U AGAIN ,C L Chau,C S Shum,,6-3/4
29/12/2023,FURY AND GOLD ,A Hamelin,C H Yip,,8
29/12/2023,GORGEOUS VITALITY ,H Bowman,F C Lor,,8-1/2
29/12/2023,ERNEST FEELING ,A Hamelin,J Richards,,-
29/12/2023,SUPER EAGLE ,A Badel,W Y So,,1/2
29/12/2023,PO ON WAY ,M Chadwick,K H Ting,,3/4
29/12/2023,CHEONG FAT ,Z Purton,C W Chang,,1-1/2
29/12/2023,TOGEPI ,L Ferraris,W K Mo,,1-3/4
29/12/2023,LUCKY QUALITY ,K H Chan,C Fownes,,2-1/4
29/12/2023,PARTY WARRIOR ,L Hewitson,K W Lui,,2-1/2
29/12/2023,HARMONY N HOME ,C L Chau,C S Shum,,2-1/2
29/12/2023,EVER VICTORIOUS ,M F Poon,P F Yiu,,3-1/4
29/12/2023,SIGHT VICTORY ,B Avdulla,J Size,,3-1/2
29/12/2023,GLORY B ,K De Melo,D J Whyte,,4-3/4
29/12/2023,E UNIVERSE ,H Bowman,K L Man,,7-1/2
29/12/2023,ERNEST FEELING ,A Hamelin,J Richards,,-
29/12/2023,SUPER EAGLE ,A Badel,W Y So,,1/2
29/12/2023,PO ON WAY ,M Chadwick,K H Ting,,3/4
29/12/2023,CHEONG FAT ,Z Purton,C W Chang,,1-1/2
29/12/2023,TOGEPI ,L Ferraris,W K Mo,,1-3/4
29/12/2023,LUCKY QUALITY ,K H Chan,C Fownes,,2-1/4
29/12/2023,PARTY WARRIOR ,L Hewitson,K W Lui,,2-1/2
29/12/2023,HARMONY N HOME ,C L Chau,C S Shum,,2-1/2
29/12/2023,EVER VICTORIOUS ,M F Poon,P F Yiu,,3-1/4
29/12/2023,SIGHT VICTORY ,B Avdulla,J Size,,3-1/2
29/12/2023,GLORY B ,K De Melo,D J Whyte,,4-3/4
29/12/2023,E UNIVERSE ,H Bowman,K L Man,,7-1/2
29/12/2023,ARMOUR EAGLE ,J McDonald,J Richards,,-
29/12/2023,BON'S A PEARLA ,A Atzeni,P C Ng,,1/2
29/12/2023,STREET CONQUEROR ,M L Yeung,A S Cruz,,1/2
29/12/2023,WATCH BUDDY ,A Badel,P F Yiu,,3/4
29/12/2023,VIVA CHALEUR ,H Bowman,C Fownes,,1-1/4
29/12/2023,LUCKY ARCHANGEL ,M F Poon,F C Lor,,1-3/4
29/12/2023,A AMERIC TE SPECSO ,Z Purton,J Size,,2
29/12/2023,DENFIELD ,B Avdulla,C S Shum,,2-3/4
29/12/2023,LIGHTNING BOLT ,C L Chau,C S Shum,,4-1/4
29/12/2023,GOLDEN EMPIRE ,L Hewitson,K W Lui,,5-1/4
29/12/2023,BEAUTY GLORY ,L Ferraris,A S Cruz,,5-3/4
01/01/2024,EIGHTY LIGHT YEARS ,E C W Wong,T P Yung,,-
01/01/2024,CHAMPION INSTINCT ,A Atzeni,D J Hall,,1-1/2
01/01/2024,HANDSOME BOMB ,J McDonald,W Y So,,2-1/4
01/01/2024,PANDA ,K Teetan,C H Yip,,2-3/4
01/01/2024,PATCH OF TIME ,Z Purton,K H Ting,,3
01/01/2024,GOLDEN LUCK ,H Bowman,K L Man,,3
01/01/2024,GANGNAM STAR ,M Chadwick,P C Ng,,4
01/01/2024,CALIFORNIA ICON ,A Badel,A S Cruz,,4-1/2
01/01/2024,JOYFUL LIFE ,K C Leung,P F Yiu,,5-1/2
01/01/2024,THE GOOD DEAL ,L Ferraris,D J Whyte,,5-3/4
01/01/2024,HINOKAMI KAGURA ,B Avdulla,J Richards,,6
01/01/2024,SPICY GOLD ,L Hewitson,M Newnham,,12
01/01/2024,HIGH RISE POWER ,C L Chau,K W Lui,,18-1/4
01/01/2024,STORM RIDER ,Z Purton,D A Hayes,,-
01/01/2024,TELECOM DRAGON ,H Bowman,C H Yip,,2-3/4
01/01/2024,SPEEDY FORTUNE ,B Avdulla,J Size,,3-1/2
01/01/2024,CHIU CHOW BROTHER ,A Badel,K L Man,,5-3/4
01/01/2024,HAPPY GOLF ,K C Leung,F C Lor,,5-3/4
01/01/2024,MULTIDARLING ,H T Mo,T P Yung,,6
01/01/2024,MISTER FOX ,K De Melo,D J Hall,,7-1/2
01/01/2024,SUPER ELITE ,M F Poon,P F Yiu,,7-1/2
01/01/2024,GOLDEN CHAMPION ,C L Chau,C S Shum,,8-1/4
01/01/2024,COMMANDING MISSILE ,A Atzeni,C W Chang,,8-3/4
01/01/2024,KINGLY DEMEANOR ,L Hewitson,A S Cruz,,9
01/01/2024,COURIER MAGIC ,M Chadwick,J Richards,,9-1/4
01/01/2024,C P BRAVE ,J McDonald,P F Yiu,,-
01/01/2024,SWAN BAY ,K Teetan,W Y So,,1-3/4
01/01/2024,ROMANTIC CHARM ,L Hewitson,C S Shum,,4-1/4
01/01/2024,KIMBERLEY ,A Hamelin,J Richards,,4-1/2
01/01/2024,U S S CONSTITUTION ,A Atzeni,J Size,,6
01/01/2024,AESTHETICISM ,Z Purton,P C Ng,,6
